,Mouse ID,Timepoint,Drug Regimen,Sex,Age_months,Weight (g),Tumor Volume (mm3),Metastatic Sites
0,a203,45.0,Infubinol,Female,20.0,23.0,67.97341878,2.0
1,a251,45.0,Infubinol,Female,21.0,25.0,65.52574285,1.0
2,a577,30.0,Infubinol,Female,6.0,25.0,57.03186187,2.0
3,a685,45.0,Infubinol,Male,8.0,30.0,66.08306589,3.0
4,c139,45.0,Infubinol,Male,11.0,28.0,72.2267309,2.0
5,c326,5.0,Infubinol,Female,18.0,25.0,36.321345799999996,0.0
6,c895,30.0,Infubinol,Female,7.0,29.0,60.96971133,2.0
7,e476,45.0,Infubinol,Male,23.0,26.0,62.43540402,1.0
8,f345,45.0,Infubinol,Male,23.0,26.0,60.91876652,1.0
9,i386,40.0,Infubinol,Female,23.0,29.0,67.28962147,4.0
10,k483,45.0,Infubinol,Female,20.0,30.0,66.19691151,3.0
11,k804,35.0,Infubinol,Female,23.0,29.0,62.11727887,2.0
12,m756,5.0,Infubinol,Male,19.0,30.0,47.01036401,1.0
13,n671,30.0,Infubinol,Male,18.0,25.0,60.16518046,0.0
14,o809,35.0,Infubinol,Male,3.0,25.0,55.62942846,1.0
15,o813,5.0,Infubinol,Male,24.0,28.0,45.69933088,0.0
16,q132,30.0,Infubinol,Female,1.0,30.0,54.65654872,4.0
17,s121,25.0,Infubinol,Male,23.0,26.0,55.65068132,2.0
18,v339,5.0,Infubinol,Male,20.0,26.0,46.25011212,0.0
19,v719,20.0,Infubinol,Female,17.0,30.0,54.04860769,1.0
20,v766,15.0,Infubinol,Male,16.0,27.0,51.54243058,1.0
21,w193,20.0,Infubinol,Male,22.0,30.0,50.00513807,0.0
22,w584,30.0,Infubinol,Male,3.0,29.0,58.26844248,1.0
23,y163,45.0,Infubinol,Female,17.0,27.0,67.68556862,3.0
24,z581,45.0,Infubinol,Female,24.0,25.0,62.75445141,3.0
